WON_MORE_THAN_HALF,Eastern Conference,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,67.0,243.0,41.95,90.65,11.95,34.40000000000001,30.0,56.25,19.85,25.4,10.55,34.65,45.15,24.5,8.4,5.75,15.6,22.05,115.75
1,1,72.0,242.1,39.85,88.35,12.2,34.65,27.65,53.65,18.700000000000006,23.85,10.5,34.7,45.2,22.7,7.7,5.55,14.5,21.15,110.5
0,1,72.0,242.8,40.9,91.6,12.65,36.45,28.25,55.1,17.65,23.35,10.6,36.3,46.9,23.55,7.050000000000002,4.9,14.05,21.05,112.05
0,1,65.0,242.3,39.5,86.7,12.25,34.7,27.25,52.05,15.1,20.0,10.95,33.4,44.4,25.200000000000006,7.3,4.55,14.5,19.700000000000006,106.25
0,1,65.0,241.2,39.55,85.55,11.7,33.35,27.85,52.2,17.6,23.25,10.35,33.4,43.7,24.3,9.1,5.0,16.9,20.5,108.35
0,1,65.0,241.9,42.1,88.65,11.8,32.4,30.3,56.25,14.9,19.55,10.25,33.25,43.55,24.6,8.15,4.75,14.75,18.950000000000006,110.85
1,0,75.0,242.3,41.8,90.95,13.7,38.1,28.1,52.85,17.3,22.4,10.45,35.7,46.15,24.3,6.55,4.449999999999998,12.3,20.4,114.55
1,0,73.0,243.1,41.0,87.7,11.55,32.25,29.5,55.45,16.65,21.7,10.45,33.0,43.35,26.05,7.6,4.5,14.05,20.4,110.25
0,1,66.0,241.9,40.6,86.5,11.35,31.15,29.3,55.4,16.4,21.65,9.95,32.7,42.6,24.35,7.8,5.05,14.65,19.75,109.0
0,0,65.0,241.9,40.40000000000001,88.4,11.95,33.05,28.45,55.35,17.9,22.55,10.1,34.599999999999994,44.65,25.85,8.2,4.75,15.25,20.1,110.65
1,0,72.0,241.4,41.55,90.95,13.9,40.15,27.6,50.85,19.3,24.9,10.5,35.6,46.1,23.450000000000006,8.35,5.050000000000002,15.45,21.4,116.3
1,1,73.0,241.4,40.8,88.5,10.85,30.8,29.95,57.6,16.0,20.35,9.55,34.5,44.0,24.5,7.15,4.9,13.95,19.3,108.45
1,0,72.0,241.4,40.55,89.7,12.35,34.55,28.15,55.2,19.65,25.4,10.7,35.8,46.5,23.7,7.3,4.7,14.35,22.5,113.1
1,0,71.0,240.7,40.7,87.69999999999997,11.3,32.5,29.35,55.2,17.799999999999994,23.6,10.05,34.0,44.0,24.4,8.399999999999999,5.15,15.55,21.2,110.5
0,0,73.0,240.7,41.55,90.6,11.9,33.4,29.65,57.2,18.1,23.4,10.35,35.35,45.7,25.85,7.95,5.4,15.0,20.7,113.15
1,1,73.0,243.1,39.15,85.55000000000003,13.25,36.55,25.85,48.95,19.05,24.4,8.85,34.599999999999994,43.45,25.25,7.5,4.3,14.45,21.15,110.55
1,1,73.0,241.0,41.1,92.45,13.9,39.1,27.25,53.35,17.5,22.95,9.5,39.25,48.75,25.05,7.300000000000002,5.2,14.6,20.65,113.65
0,0,64.0,243.1,41.75,91.0,12.45,35.8,29.35,55.25,19.4,25.3,10.3,35.75,46.05,24.1,8.25,5.6,15.4,21.5,115.4
0,0,72.0,242.1,42.65000000000001,91.7,12.9,35.4,29.7,56.4,18.25,24.05,10.6,35.05,45.65,25.65,8.0,4.9,15.45,21.15,116.45
0,1,66.0,241.9,39.95,87.65,11.45,31.65,28.5,56.05,17.75,24.6,10.8,34.55,45.35,23.200000000000006,7.4,4.85,14.0,21.0,109.05
1,0,72.0,242.1,40.4,87.55,11.0,31.75,29.4,55.85,17.65,22.200000000000006,9.35,34.5,43.85,22.35,7.3,4.45,13.95,21.05,109.4
0,1,73.0,240.7,39.85,87.75,11.65,32.90000000000001,28.25,54.85,16.450000000000006,21.25,9.65,35.0,44.7,24.3,7.6,5.0,13.7,18.9,107.8
1,1,73.0,241.0,40.45,86.95,11.0,30.5,29.45,56.4,17.65,23.45,9.55,34.1,43.6,24.3,7.5,4.65,14.0,20.7,109.55
0,0,73.0,241.0,41.2,87.75,11.5,31.9,29.700000000000006,55.85,19.6,24.15,9.45,34.0,43.4,25.4,7.800000000000002,4.75,15.2,22.3,113.5
0,0,74.0,241.0,42.0,91.4,13.25,34.75,28.75,56.65000000000001,18.4,23.4,10.85,35.25,46.1,22.75,6.55,5.5,12.85,20.9,115.55
0,0,72.0,242.4,40.6,86.95,12.55,34.849999999999994,28.0,52.1,17.45,22.3,9.4,33.7,43.05,24.35,7.7,4.15,14.85,20.85,111.1
0,0,71.0,242.5,42.25,89.80000000000003,11.9,31.8,30.35,58.05,18.2,22.95,9.2,35.75,44.95,25.2,7.05,4.9,12.9,19.75,114.65
1,1,72.0,241.4,39.0,88.1,13.45,37.95,25.55,50.2,18.15,23.2,10.2,35.5,45.75,25.4,8.0,5.25,15.8,21.05,109.65
1,0,72.0,241.0,40.40000000000001,87.1,12.2,33.1,28.2,54.0,17.15,22.15,9.35,34.45,43.8,21.95,7.0,4.35,13.7,20.6,110.05
0,1,72.0,241.0,42.3,89.65,12.2,32.85,30.1,56.75,19.9,25.450000000000006,10.35,33.8,44.1,25.1,7.75,4.65,15.2,22.45,116.75
1,0,72.0,241.7,41.05,88.15,12.15,33.8,28.85,54.45,18.3,22.65,10.3,33.90000000000001,44.15000000000001,24.25,7.35,4.9,12.75,19.55,112.55
0,1,72.0,241.4,40.7,87.45,13.2,35.34999999999999,27.5,52.05,17.3,22.15,10.0,33.35,43.4,23.8,7.550000000000002,4.949999999999998,14.1,19.85,111.9
1,1,72.0,241.7,42.5,89.3,13.7,36.15000000000001,28.85,53.15000000000001,17.6,22.25,9.7,34.05,43.75,25.4,7.15,4.949999999999998,13.05,18.95,116.35
0,1,72.0,241.0,40.6,87.94999999999997,14.1,38.25,26.55,49.7,15.15,20.1,10.6,33.85,44.5,26.950000000000006,7.949999999999998,4.8,14.8,18.3,110.45
0,1,72.0,241.4,41.8,88.15,12.05,33.15,29.75,54.95,15.5,19.85,9.15,34.4,43.55,25.450000000000006,7.6,4.65,13.9,18.3,111.15
0,1,72.0,242.1,40.3,86.25,11.2,31.05,29.1,55.15,16.3,21.4,10.15,33.05,43.25,24.6,8.15,5.2,14.9,19.2,108.05
1,0,72.0,240.3,40.6,87.19999999999997,13.3,36.65000000000001,27.25,50.5,16.85,21.85,9.45,34.2,43.6,22.8,6.8,4.0,12.35,19.75,111.3
1,0,72.0,242.8,41.65,87.30000000000003,12.95,34.95,28.75,52.35,16.4,20.8,9.8,33.0,42.8,26.35,7.8,4.5,13.8,19.15,112.6
0,1,72.0,242.1,40.05,86.25,11.45,32.15,28.55,54.15000000000001,17.4,22.85,9.8,33.75,43.5,24.5,7.7,5.5,14.4,20.45,108.85
0,0,72.0,240.3,40.75,88.6,13.5,36.6,27.3,51.95,18.200000000000006,23.3,9.35,35.85,45.15,25.75,8.05,4.55,15.0,20.35,113.2
0,0,72.0,240.3,41.0,88.75,13.6,37.90000000000001,27.4,50.9,17.2,22.55,9.6,35.5,45.1,24.700000000000006,8.05,5.15,14.7,19.4,112.75
0,0,72.0,242.4,43.0,91.25,11.9,32.75,31.05,58.6,17.4,22.1,10.15,34.6,44.75,26.75,7.95,5.85,14.15,19.15,115.3
1,0,72.0,240.0,40.95,86.55000000000003,12.95,33.6,28.0,52.95,16.15,20.0,9.3,33.35,42.7,23.65,7.1,4.15,13.0,18.65,110.9
1,0,72.0,242.4,40.2,86.25,11.25,31.700000000000006,29.0,54.5,16.55,21.9,9.25,33.90000000000001,43.1,24.7,8.0,4.95,15.2,20.200000000000006,108.15
0,0,72.0,241.7,41.9,90.25,12.05,33.25,29.95,57.0,16.9,21.700000000000006,10.5,35.099999999999994,45.6,26.15,8.4,5.15,14.05,18.5,112.8
1,1,72.0,241.4,39.15000000000001,84.45,13.6,37.65000000000001,25.55,46.85,16.15,20.5,8.75,33.45,42.2,26.05,7.7,4.0,14.6,19.25,108.05
1,1,72.0,240.7,43.55,92.35,14.6,37.85,28.950000000000006,54.5,15.4,20.1,9.95,35.8,45.75,25.3,7.55,4.699999999999998,13.5,17.8,117.15
0,0,72.0,241.7,41.85,90.1,13.1,35.55,28.75,54.55,18.05,23.3,10.25,34.4,44.65,26.200000000000006,8.2,5.5,14.8,20.4,114.9
0,0,72.0,242.1,42.2,89.19999999999997,12.55,34.25,29.65,54.90000000000001,17.8,23.6,10.3,34.3,44.6,25.95,7.65,5.15,13.95,19.65,114.75
1,0,72.0,242.1,38.65,86.35,11.9,32.8,26.8,53.5,16.65,21.55,9.7,34.95,44.6,22.5,6.8,5.25,12.85,19.2,105.85
0,0,72.0,241.0,41.1,89.85,12.75,36.2,28.35,53.65,15.4,20.55,10.0,36.35,46.35,23.950000000000006,8.0,4.85,14.6,18.35,110.3
0,0,72.0,240.7,40.25,89.45,12.3,34.3,27.95,55.15,15.9,20.35,10.1,36.35,46.4,23.9,7.25,4.85,12.75,17.95,108.65
1,1,72.0,242.1,40.4,86.9,11.6,31.55,28.8,55.35,18.5,24.15,9.9,34.1,44.0,23.6,8.15,5.45,15.0,20.6,110.85
1,0,72.0,242.8,41.9,87.55,12.35,33.7,29.6,53.85,16.2,20.2,9.1,33.75,42.8,24.9,7.050000000000002,3.95,13.05,18.55,112.4
1,0,72.0,240.3,41.55,89.69999999999997,14.3,37.7,27.25,51.95,17.85,22.200000000000006,10.25,34.7,44.95,23.1,6.5,4.8,11.75,19.0,115.2
0,0,72.0,240.3,43.1,89.0,12.25,32.95,30.85,56.05,17.1,22.35,10.05,33.3,43.3,25.4,7.55,4.85,13.55,19.05,115.55
0,0,72.0,242.8,42.15,90.15,11.1,30.5,31.0,59.65000000000001,16.549999999999994,21.35,9.75,35.90000000000001,45.65,24.6,6.65,5.1,12.3,18.3,111.95
0,0,72.0,240.3,39.35,86.7,14.2,38.0,25.200000000000006,48.65,18.6,23.05,9.7,34.0,43.75,25.05,7.6,5.5,14.65,20.35,111.5
1,0,72.0,241.0,41.1,89.75,13.8,37.4,27.25,52.35,15.85,20.2,10.2,35.2,45.45,23.0,7.15,4.55,12.85,18.75,111.8
0,0,72.0,241.7,43.15000000000001,91.25,11.3,31.35,31.85,59.9,19.950000000000006,25.8,10.0,35.65,45.65000000000001,25.0,7.75,4.449999999999998,14.55,21.8,117.55
