WON_MORE_THAN_HALF,Eastern Conference,G,MP,FG%,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,67.0,243.0,0.4635,0.348,0.5335000000000001,0.7809999999999999,10.55,34.65,45.15,24.5,8.4,5.75,15.6,22.05,115.75
1,1,72.0,242.1,0.451,0.35200000000000004,0.515,0.784,10.5,34.7,45.2,22.7,7.7,5.55,14.5,21.15,110.5
0,1,72.0,242.8,0.447,0.3465,0.5135000000000001,0.757,10.6,36.3,46.9,23.55,7.050000000000002,4.9,14.05,21.05,112.05
0,1,65.0,242.3,0.455,0.35200000000000004,0.5235,0.753,10.95,33.4,44.4,25.200000000000006,7.3,4.55,14.5,19.700000000000006,106.25
0,1,65.0,241.2,0.463,0.3505,0.534,0.757,10.35,33.4,43.7,24.3,9.1,5.0,16.9,20.5,108.35
0,1,65.0,241.9,0.4745,0.363,0.5385,0.7625,10.25,33.25,43.55,24.6,8.15,4.75,14.75,18.950000000000006,110.85
1,0,75.0,242.3,0.4595,0.3590000000000001,0.532,0.7695000000000001,10.45,35.7,46.15,24.3,6.55,4.449999999999998,12.3,20.4,114.55
1,0,73.0,243.1,0.468,0.3585,0.5315,0.768,10.45,33.0,43.35,26.05,7.6,4.5,14.05,20.4,110.25
0,1,66.0,241.9,0.4695,0.3640000000000001,0.528,0.76,9.95,32.7,42.6,24.35,7.8,5.05,14.65,19.75,109.0
0,0,65.0,241.9,0.457,0.3615,0.514,0.7929999999999999,10.1,34.599999999999994,44.65,25.85,8.2,4.75,15.25,20.1,110.65
1,0,72.0,241.4,0.4565,0.34700000000000003,0.5445,0.7759999999999999,10.5,35.6,46.1,23.450000000000006,8.35,5.050000000000002,15.45,21.4,116.3
1,1,73.0,241.4,0.461,0.35200000000000004,0.52,0.7875,9.55,34.5,44.0,24.5,7.15,4.9,13.95,19.3,108.45
1,0,72.0,241.4,0.452,0.358,0.5105,0.7734999999999999,10.7,35.8,46.5,23.7,7.3,4.7,14.35,22.5,113.1
1,0,71.0,240.7,0.464,0.349,0.531,0.755,10.05,34.0,44.0,24.4,8.399999999999999,5.15,15.55,21.2,110.5
0,0,73.0,240.7,0.459,0.35600000000000004,0.518,0.7725,10.35,35.35,45.7,25.85,7.95,5.4,15.0,20.7,113.15
1,1,73.0,243.1,0.458,0.363,0.5285,0.7829999999999999,8.85,34.599999999999994,43.45,25.25,7.5,4.3,14.45,21.15,110.55
1,1,73.0,241.0,0.445,0.355,0.512,0.7645,9.5,39.25,48.75,25.05,7.300000000000002,5.2,14.6,20.65,113.65
0,0,64.0,243.1,0.45899999999999996,0.34950000000000003,0.53,0.768,10.3,35.75,46.05,24.1,8.25,5.6,15.4,21.5,115.4
0,0,72.0,242.1,0.465,0.3655,0.527,0.7590000000000001,10.6,35.05,45.65,25.65,8.0,4.9,15.45,21.15,116.45
0,1,66.0,241.9,0.455,0.359,0.5095000000000001,0.7215,10.8,34.55,45.35,23.200000000000006,7.4,4.85,14.0,21.0,109.05
1,0,72.0,242.1,0.4615,0.34750000000000003,0.526,0.7955,9.35,34.5,43.85,22.35,7.3,4.45,13.95,21.05,109.4
0,1,73.0,240.7,0.4545,0.3535,0.5155000000000001,0.7725,9.65,35.0,44.7,24.3,7.6,5.0,13.7,18.9,107.8
1,1,73.0,241.0,0.4655,0.3605,0.522,0.7529999999999999,9.55,34.1,43.6,24.3,7.5,4.65,14.0,20.7,109.55
0,0,73.0,241.0,0.47,0.3605,0.532,0.8109999999999999,9.45,34.0,43.4,25.4,7.800000000000002,4.75,15.2,22.3,113.5
0,0,74.0,241.0,0.4595,0.38,0.5075000000000001,0.7875,10.85,35.25,46.1,22.75,6.55,5.5,12.85,20.9,115.55
0,0,72.0,242.4,0.4665,0.3605,0.5379999999999999,0.78,9.4,33.7,43.05,24.35,7.7,4.15,14.85,20.85,111.1
0,0,71.0,242.5,0.4705,0.3745,0.523,0.7935000000000001,9.2,35.75,44.95,25.2,7.05,4.9,12.9,19.75,114.65
1,1,72.0,241.4,0.443,0.35550000000000004,0.509,0.7825,10.2,35.5,45.75,25.4,8.0,5.25,15.8,21.05,109.65
1,0,72.0,241.0,0.46399999999999997,0.3665,0.5235000000000001,0.773,9.35,34.45,43.8,21.95,7.0,4.35,13.7,20.6,110.05
0,1,72.0,241.0,0.4725,0.37200000000000005,0.5305,0.7829999999999999,10.35,33.8,44.1,25.1,7.75,4.65,15.2,22.45,116.75
1,0,72.0,241.7,0.4655,0.361,0.53,0.8075,10.3,33.90000000000001,44.15000000000001,24.25,7.35,4.9,12.75,19.55,112.55
0,1,72.0,241.4,0.465,0.374,0.527,0.78,10.0,33.35,43.4,23.8,7.550000000000002,4.949999999999998,14.1,19.85,111.9
1,1,72.0,241.7,0.4765,0.3785,0.5429999999999999,0.7895000000000001,9.7,34.05,43.75,25.4,7.15,4.949999999999998,13.05,18.95,116.35
0,1,72.0,241.0,0.4615,0.3675,0.5345,0.7529999999999999,10.6,33.85,44.5,26.950000000000006,7.949999999999998,4.8,14.8,18.3,110.45
0,1,72.0,241.4,0.4745,0.363,0.5415000000000001,0.7825,9.15,34.4,43.55,25.450000000000006,7.6,4.65,13.9,18.3,111.15
0,1,72.0,242.1,0.467,0.3595,0.5275000000000001,0.7609999999999999,10.15,33.05,43.25,24.6,8.15,5.2,14.9,19.2,108.05
1,0,72.0,240.3,0.465,0.3635000000000001,0.5395,0.7709999999999999,9.45,34.2,43.6,22.8,6.8,4.0,12.35,19.75,111.3
1,0,72.0,242.8,0.47700000000000004,0.37,0.5485,0.7879999999999999,9.8,33.0,42.8,26.35,7.8,4.5,13.8,19.15,112.6
0,1,72.0,242.1,0.46399999999999997,0.35650000000000004,0.528,0.7595000000000001,9.8,33.75,43.5,24.5,7.7,5.5,14.4,20.45,108.85
0,0,72.0,240.3,0.46,0.3675,0.526,0.7815000000000001,9.35,35.85,45.15,25.75,8.05,4.55,15.0,20.35,113.2
0,0,72.0,240.3,0.462,0.3605,0.5379999999999999,0.7615,9.6,35.5,45.1,24.700000000000006,8.05,5.15,14.7,19.4,112.75
0,0,72.0,242.4,0.47100000000000003,0.365,0.5305,0.787,10.15,34.6,44.75,26.75,7.95,5.85,14.15,19.15,115.3
1,0,72.0,240.0,0.473,0.3835000000000001,0.529,0.8079999999999999,9.3,33.35,42.7,23.65,7.1,4.15,13.0,18.65,110.9
1,0,72.0,242.4,0.466,0.353,0.5315000000000001,0.7575000000000001,9.25,33.90000000000001,43.1,24.7,8.0,4.95,15.2,20.200000000000006,108.15
0,0,72.0,241.7,0.4645,0.3615,0.525,0.7794999999999999,10.5,35.099999999999994,45.6,26.15,8.4,5.15,14.05,18.5,112.8
1,1,72.0,241.4,0.4635,0.3615,0.5454999999999999,0.7859999999999999,8.75,33.45,42.2,26.05,7.7,4.0,14.6,19.25,108.05
1,1,72.0,240.7,0.4715,0.3865,0.5305,0.77,9.95,35.8,45.75,25.3,7.55,4.699999999999998,13.5,17.8,117.15
0,0,72.0,241.7,0.465,0.3705,0.527,0.7734999999999999,10.25,34.4,44.65,26.200000000000006,8.2,5.5,14.8,20.4,114.9
0,0,72.0,242.1,0.473,0.364,0.5395000000000001,0.7595000000000001,10.3,34.3,44.6,25.95,7.65,5.15,13.95,19.65,114.75
1,0,72.0,242.1,0.44799999999999995,0.3645000000000001,0.501,0.7725,9.7,34.95,44.6,22.5,6.8,5.25,12.85,19.2,105.85
0,0,72.0,241.0,0.457,0.3515,0.5285,0.7490000000000001,10.0,36.35,46.35,23.950000000000006,8.0,4.85,14.6,18.35,110.3
0,0,72.0,240.7,0.45,0.358,0.5075000000000001,0.7805,10.1,36.35,46.4,23.9,7.25,4.85,12.75,17.95,108.65
1,1,72.0,242.1,0.4645,0.36700000000000005,0.5205,0.7655000000000001,9.9,34.1,44.0,23.6,8.15,5.45,15.0,20.6,110.85
1,0,72.0,242.8,0.4785,0.366,0.5489999999999999,0.8059999999999999,9.1,33.75,42.8,24.9,7.050000000000002,3.95,13.05,18.55,112.4
1,0,72.0,240.3,0.463,0.3785000000000001,0.5235,0.8049999999999999,10.25,34.7,44.95,23.1,6.5,4.8,11.75,19.0,115.2
0,0,72.0,240.3,0.4845,0.37200000000000005,0.55,0.7659999999999999,10.05,33.3,43.3,25.4,7.55,4.85,13.55,19.05,115.55
0,0,72.0,242.8,0.467,0.3635,0.5205,0.775,9.75,35.90000000000001,45.65,24.6,6.65,5.1,12.3,18.3,111.95
0,0,72.0,240.3,0.4545,0.3735,0.5175000000000001,0.8069999999999999,9.7,34.0,43.75,25.05,7.6,5.5,14.65,20.35,111.5
1,0,72.0,241.0,0.4575,0.365,0.524,0.7835000000000001,10.2,35.2,45.45,23.0,7.15,4.55,12.85,18.75,111.8
0,0,72.0,241.7,0.473,0.36,0.5309999999999999,0.7749999999999999,10.0,35.65,45.65000000000001,25.0,7.75,4.449999999999998,14.55,21.8,117.55
