G_OFF,MP_OFF,FG%_OFF,3P%_OFF,2P%_OFF,FT%_OFF,ORB_OFF,DRB_OFF,TRB_OFF,AST_OFF,STL_OFF,BLK_OFF,TOV_OFF,PF_OFF,PTS_OFF,G_DEF,MP_DEF,FG%_DEF,3P%_DEF,2P%_DEF,FT%_DEF,ORB_DEF,DRB_DEF,TRB_DEF,AST_DEF,STL_DEF,BLK_DEF,TOV_DEF,PF_DEF,PTS_DEF,WON_MORE_THAN_HALF,Eastern Conference
67,243.0,0.449,0.33299999999999996,0.525,0.79,9.9,33.4,43.3,24.0,7.8,5.1,16.2,23.1,111.8,67,243.0,0.478,0.363,0.542,0.772,11.2,35.9,47.0,25.0,9.0,6.4,15.0,21.0,119.7,0,1
72,242.1,0.461,0.364,0.522,0.8009999999999999,10.7,35.4,46.1,23.0,8.3,5.6,13.8,21.6,113.7,72,242.1,0.441,0.34,0.508,0.767,10.3,34.0,44.3,22.4,7.1,5.5,15.2,20.7,107.3,1,1
72,242.8,0.44799999999999995,0.34299999999999997,0.524,0.745,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21.0,111.8,72,242.8,0.446,0.35,0.503,0.769,10.6,35.3,45.9,22.6,7.7,5.3,12.8,21.1,112.3,0,1
65,242.3,0.434,0.35200000000000004,0.489,0.748,11.0,31.8,42.8,23.8,6.6,4.1,14.6,18.8,102.9,65,242.3,0.47600000000000003,0.35200000000000004,0.5579999999999999,0.758,10.9,35.0,46.0,26.6,8.0,5.0,14.4,20.6,109.6,0,1
65,241.2,0.447,0.348,0.511,0.755,10.5,31.4,41.9,23.2,10.0,4.1,15.5,21.8,106.8,65,241.2,0.479,0.353,0.557,0.759,10.2,35.4,45.5,25.4,8.2,5.9,18.3,19.2,109.9,0,1
65,241.9,0.45799999999999996,0.35100000000000003,0.519,0.758,10.8,33.4,44.2,23.1,6.9,3.2,16.5,18.3,106.9,65,241.9,0.491,0.375,0.5579999999999999,0.767,9.7,33.1,42.9,26.1,9.4,6.3,13.0,19.6,114.8,0,1
75,242.3,0.461,0.3670000000000001,0.541,0.779,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,117.0,75,242.3,0.45799999999999996,0.35100000000000003,0.523,0.76,10.4,35.0,45.4,23.9,7.0,4.1,11.9,21.3,112.1,1,0
73,243.1,0.473,0.359,0.5329999999999999,0.777,10.8,33.4,44.1,26.7,8.0,4.6,13.8,20.3,111.3,73,243.1,0.46299999999999997,0.358,0.53,0.759,10.1,32.6,42.6,25.4,7.2,4.4,14.3,20.5,109.2,1,0
66,241.9,0.45899999999999996,0.3670000000000001,0.515,0.743,9.8,32.0,41.7,24.1,7.4,4.5,15.3,19.7,107.2,66,241.9,0.48,0.361,0.541,0.777,10.1,33.4,43.5,24.6,8.2,5.6,14.0,19.8,110.8,0,1
65,241.9,0.43799999999999994,0.33399999999999996,0.495,0.8029999999999999,10.0,32.9,42.8,25.6,8.2,4.6,14.9,20.1,106.3,65,241.9,0.47600000000000003,0.389,0.5329999999999999,0.7829999999999999,10.2,36.3,46.5,26.1,8.2,4.9,15.6,20.1,115.0,0,0
72,241.4,0.451,0.345,0.557,0.7909999999999999,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,117.8,72,241.4,0.462,0.349,0.532,0.7609999999999999,11.2,36.7,47.9,25.3,8.0,4.9,16.2,21.0,114.8,1,0
73,241.4,0.47600000000000003,0.363,0.529,0.787,8.7,34.1,42.8,25.9,7.4,5.2,13.2,19.8,109.4,73,241.4,0.446,0.341,0.511,0.7879999999999999,10.4,34.9,45.2,23.1,6.9,4.6,14.7,18.8,107.5,1,1
72,241.4,0.466,0.371,0.522,0.7909999999999999,10.7,37.0,47.7,23.7,7.1,4.7,14.6,22.1,116.3,72,241.4,0.43799999999999994,0.345,0.499,0.7559999999999999,10.7,34.6,45.3,23.7,7.5,4.7,14.1,22.9,109.9,1,0
71,240.7,0.48,0.349,0.552,0.7290000000000001,10.7,35.1,45.7,25.4,8.6,6.6,15.2,20.7,113.4,71,240.7,0.44799999999999995,0.349,0.51,0.7809999999999999,9.4,32.9,42.3,23.4,8.2,3.7,15.9,21.7,107.6,1,0
73,240.7,0.46799999999999997,0.34700000000000003,0.532,0.763,10.3,36.2,46.5,26.9,7.9,5.5,15.2,21.2,112.6,73,240.7,0.45,0.365,0.504,0.782,10.4,34.5,44.9,24.8,8.0,5.3,14.8,20.2,113.7,0,0
73,243.1,0.46799999999999997,0.379,0.532,0.7829999999999999,8.5,35.9,44.4,25.9,7.5,4.5,14.9,20.6,112.0,73,243.1,0.44799999999999995,0.34700000000000003,0.525,0.7829999999999999,9.2,33.3,42.5,24.6,7.5,4.1,14.0,21.7,109.1,1,1
73,241.0,0.47600000000000003,0.355,0.5670000000000001,0.742,9.5,42.2,51.7,25.9,7.2,5.9,15.1,19.6,118.7,73,241.0,0.414,0.355,0.457,0.787,9.5,36.3,45.8,24.2,7.4,4.5,14.1,21.7,108.6,1,1
64,243.1,0.441,0.336,0.521,0.753,10.5,34.3,44.8,23.8,8.7,5.7,15.3,21.4,113.3,64,243.1,0.47700000000000004,0.363,0.539,0.7829999999999999,10.1,37.2,47.3,24.4,7.8,5.5,15.5,21.6,117.5,0,0
72,242.1,0.465,0.37,0.528,0.7290000000000001,11.1,35.4,46.5,26.8,7.5,5.0,16.4,21.2,115.8,72,242.1,0.465,0.361,0.526,0.789,10.1,34.7,44.8,24.5,8.5,4.8,14.5,21.1,117.1,0,0
66,241.9,0.447,0.337,0.499,0.6940000000000001,12.0,34.5,46.5,22.1,7.6,4.7,14.3,22.2,105.8,66,241.9,0.46299999999999997,0.381,0.52,0.7490000000000001,9.6,34.6,44.2,24.3,7.2,5.0,13.7,19.8,112.3,0,1
72,242.1,0.46799999999999997,0.355,0.529,0.7959999999999999,8.2,34.7,42.9,21.7,7.6,4.9,13.7,19.3,110.4,72,242.1,0.455,0.34,0.523,0.795,10.5,34.3,44.8,23.0,7.0,4.0,14.2,22.8,108.4,1,0
73,240.7,0.444,0.34299999999999997,0.502,0.774,10.3,34.2,44.5,23.9,8.2,5.4,12.8,18.3,107.3,73,240.7,0.465,0.364,0.529,0.7709999999999999,9.0,35.8,44.9,24.7,7.0,4.6,14.6,19.5,108.3,0,1
73,241.0,0.46799999999999997,0.368,0.524,0.755,10.5,35.0,45.4,25.8,8.0,5.3,14.2,20.9,110.7,73,241.0,0.46299999999999997,0.353,0.52,0.7509999999999999,8.6,33.2,41.8,22.8,7.0,4.0,13.8,20.5,108.4,1,1
73,241.0,0.46799999999999997,0.358,0.529,0.8340000000000001,9.8,33.8,43.5,27.2,7.7,4.0,14.8,22.0,113.6,73,241.0,0.47200000000000003,0.363,0.535,0.7879999999999999,9.1,34.2,43.3,23.6,7.9,5.5,15.6,22.6,113.4,0,0
74,241.0,0.46299999999999997,0.377,0.514,0.804,10.2,35.1,45.3,20.6,6.3,6.1,12.8,21.7,115.0,74,241.0,0.456,0.38299999999999995,0.501,0.7709999999999999,11.5,35.4,46.9,24.9,6.8,4.9,12.9,20.1,116.1,0,0
72,242.4,0.462,0.364,0.527,0.77,9.7,32.9,42.6,23.8,7.7,4.1,14.5,22.2,110.1,72,242.4,0.47100000000000003,0.35700000000000004,0.5489999999999999,0.79,9.1,34.5,43.5,24.9,7.7,4.2,15.2,19.5,112.1,0,0
71,242.5,0.47200000000000003,0.376,0.516,0.81,9.0,35.6,44.6,24.7,7.3,5.5,12.6,19.4,114.1,71,242.5,0.469,0.373,0.53,0.777,9.4,35.9,45.3,25.7,6.8,4.3,13.2,20.1,115.2,0,0
72,241.4,0.45799999999999996,0.374,0.519,0.7959999999999999,9.5,35.9,45.4,25.2,8.8,5.0,14.8,21.7,112.8,72,241.4,0.428,0.337,0.499,0.769,10.9,35.1,46.1,25.6,7.2,5.5,16.8,20.4,106.5,1,1
72,241.0,0.47100000000000003,0.38,0.535,0.779,9.1,35.8,44.9,22.4,6.1,4.1,15.1,20.4,111.3,72,241.0,0.457,0.353,0.512,0.767,9.6,33.1,42.7,21.5,7.9,4.6,12.3,20.8,108.8,1,0
72,241.0,0.457,0.368,0.506,0.7879999999999999,10.2,31.9,42.0,25.0,8.0,4.3,14.2,22.7,114.4,72,241.0,0.488,0.376,0.555,0.778,10.5,35.7,46.2,25.2,7.5,5.0,16.2,22.2,119.1,0,1
72,241.7,0.46799999999999997,0.373,0.526,0.812,10.6,35.1,45.6,24.1,7.0,4.8,13.2,19.3,113.7,72,241.7,0.46299999999999997,0.349,0.534,0.8029999999999999,10.0,32.7,42.7,24.4,7.7,5.0,12.3,19.8,111.4,1,0
72,241.4,0.466,0.374,0.53,0.775,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6,72,241.4,0.46399999999999997,0.374,0.524,0.785,9.4,33.1,42.5,24.1,7.4,4.6,14.1,19.3,111.2,0,1
72,241.7,0.494,0.392,0.565,0.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19.0,118.6,72,241.7,0.45899999999999996,0.365,0.521,0.775,10.5,32.6,43.1,24.0,7.6,4.6,12.6,18.9,114.1,1,1
72,241.0,0.455,0.369,0.517,0.7609999999999999,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18.0,109.5,72,241.0,0.46799999999999997,0.366,0.552,0.745,10.6,34.5,45.2,27.1,8.1,4.8,14.8,18.6,111.4,0,1
72,241.4,0.47600000000000003,0.37,0.542,0.7909999999999999,9.6,35.3,45.0,26.8,6.7,4.2,15.1,18.9,110.7,72,241.4,0.473,0.35600000000000004,0.541,0.774,8.7,33.5,42.1,24.1,8.5,5.1,12.7,17.7,111.6,0,1
72,242.1,0.45,0.336,0.51,0.743,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8,72,242.1,0.484,0.38299999999999995,0.545,0.779,9.9,33.8,43.7,25.4,8.5,5.9,14.3,20.2,112.3,0,1
72,240.3,0.47,0.36200000000000004,0.5539999999999999,0.778,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4,72,240.3,0.46,0.365,0.525,0.764,9.8,34.2,43.9,22.7,7.3,3.7,12.6,20.1,110.2,1,0
72,242.8,0.485,0.377,0.552,0.8029999999999999,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1,72,242.8,0.469,0.363,0.545,0.773,9.1,32.1,41.2,25.9,7.5,4.5,14.1,19.2,110.1,1,0
72,242.1,0.452,0.35100000000000003,0.515,0.759,9.6,33.1,42.7,24.2,7.4,5.2,14.9,20.5,106.6,72,242.1,0.47600000000000003,0.36200000000000004,0.541,0.76,10.0,34.4,44.3,24.8,8.0,5.8,13.9,20.4,111.1,0,1
72,240.3,0.46799999999999997,0.376,0.541,0.785,8.0,35.1,43.0,27.7,8.2,4.8,15.0,21.2,113.7,72,240.3,0.452,0.359,0.511,0.778,10.7,36.6,47.3,23.8,7.9,4.3,15.0,19.5,112.7,0,0
72,240.3,0.444,0.33899999999999997,0.532,0.74,9.3,33.3,42.6,23.6,7.6,5.0,14.7,19.5,108.8,72,240.3,0.48,0.382,0.544,0.7829999999999999,9.9,37.7,47.6,25.8,8.5,5.3,14.7,19.3,116.7,0,0
72,242.4,0.474,0.364,0.54,0.792,9.0,33.7,42.7,27.4,8.5,6.4,13.5,20.2,115.3,72,242.4,0.46799999999999997,0.366,0.521,0.782,11.3,35.5,46.8,26.1,7.4,5.3,14.8,18.1,115.3,0,0
72,240.0,0.48200000000000004,0.41100000000000003,0.529,0.8390000000000001,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,114.0,72,240.0,0.46399999999999997,0.35600000000000004,0.529,0.777,9.2,32.0,41.2,22.9,7.1,4.2,12.8,18.1,107.8,1,0
72,242.4,0.47200000000000003,0.354,0.539,0.7390000000000001,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,109.5,72,242.4,0.46,0.35200000000000004,0.524,0.7759999999999999,8.8,33.2,42.0,24.7,8.2,4.5,15.2,21.3,106.8,1,0
72,241.7,0.467,0.35600000000000004,0.525,0.7709999999999999,11.2,35.3,46.5,26.9,9.1,5.1,13.3,18.7,113.3,72,241.7,0.462,0.3670000000000001,0.525,0.7879999999999999,9.8,34.9,44.7,25.4,7.7,5.2,14.8,18.3,112.3,0,0
72,241.4,0.46799999999999997,0.358,0.5529999999999999,0.79,8.0,33.5,41.5,26.3,7.9,4.0,14.1,18.9,108.1,72,241.4,0.45899999999999996,0.365,0.5379999999999999,0.782,9.5,33.4,42.9,25.8,7.5,4.0,15.1,19.6,108.0,1,1
72,240.7,0.48700000000000004,0.389,0.5539999999999999,0.76,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,120.1,72,240.7,0.456,0.384,0.507,0.78,9.6,33.8,43.4,25.1,7.0,4.8,13.2,18.3,114.2,1,1
72,241.7,0.44799999999999995,0.349,0.518,0.7609999999999999,10.5,33.0,43.5,25.6,8.8,5.5,14.3,20.9,112.1,72,241.7,0.48200000000000004,0.392,0.536,0.7859999999999999,10.0,35.8,45.8,26.8,7.6,5.5,15.3,19.9,117.7,0,0
72,242.1,0.47700000000000004,0.348,0.544,0.7290000000000001,11.7,35.7,47.4,26.0,7.6,4.4,14.6,18.0,114.6,72,242.1,0.469,0.38,0.535,0.79,8.9,32.9,41.8,25.9,7.7,5.9,13.3,21.3,114.9,0,0
72,242.1,0.456,0.392,0.49,0.784,9.7,35.5,45.1,21.4,7.0,5.1,12.9,20.5,107.0,72,242.1,0.44,0.337,0.512,0.7609999999999999,9.7,34.4,44.1,23.6,6.6,5.4,12.8,17.9,104.7,1,0
72,241.0,0.441,0.33899999999999997,0.509,0.725,9.9,35.7,45.6,22.1,7.0,4.4,16.1,18.1,105.0,72,241.0,0.473,0.364,0.5479999999999999,0.773,10.1,37.0,47.1,25.8,9.0,5.3,13.1,18.6,115.6,0,0
72,240.7,0.429,0.34299999999999997,0.47600000000000003,0.775,10.4,35.1,45.4,21.8,6.9,4.4,12.8,17.2,104.0,72,240.7,0.47100000000000003,0.373,0.539,0.7859999999999999,9.8,37.6,47.4,26.0,7.6,5.3,12.7,18.7,113.3,0,0
72,242.1,0.47600000000000003,0.374,0.531,0.767,10.0,35.0,45.1,23.7,9.1,6.2,14.4,20.2,113.6,72,242.1,0.45299999999999996,0.36,0.51,0.764,9.8,33.2,42.9,23.5,7.2,4.7,15.6,21.0,108.1,1,1
72,242.8,0.49,0.37799999999999995,0.563,0.8340000000000001,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,115.3,72,242.8,0.467,0.354,0.535,0.778,9.4,33.3,42.7,22.9,6.9,3.6,13.6,18.0,109.5,1,0
72,240.3,0.45299999999999996,0.385,0.509,0.823,10.6,33.9,44.5,21.3,6.9,5.0,11.1,18.9,116.1,72,240.3,0.473,0.3720000000000001,0.5379999999999999,0.787,9.9,35.5,45.4,24.9,6.1,4.6,12.4,19.1,114.3,1,0
72,240.3,0.48100000000000004,0.364,0.551,0.745,9.4,32.0,41.4,25.5,7.5,5.0,13.4,19.4,113.7,72,240.3,0.488,0.38,0.5489999999999999,0.787,10.7,34.6,45.2,25.3,7.6,4.7,13.7,18.7,117.4,0,0
72,242.8,0.462,0.35,0.514,0.792,9.3,34.6,43.9,24.4,7.0,5.1,11.4,18.0,111.1,72,242.8,0.47200000000000003,0.377,0.527,0.758,10.2,37.2,47.4,24.8,6.3,5.1,13.2,18.6,112.8,0,0
72,240.3,0.44799999999999995,0.368,0.512,0.815,9.4,32.1,41.6,24.1,8.6,5.4,13.2,21.2,111.3,72,240.3,0.461,0.379,0.523,0.799,10.0,35.9,45.9,26.0,6.6,5.6,16.1,19.5,111.7,0,0
72,241.0,0.46799999999999997,0.389,0.544,0.799,10.6,37.6,48.3,23.7,6.6,5.2,14.2,18.5,116.4,72,241.0,0.447,0.341,0.504,0.768,9.8,32.8,42.6,22.3,7.7,3.9,11.5,19.0,107.2,1,0
72,241.7,0.475,0.35100000000000003,0.5329999999999999,0.769,9.7,35.5,45.2,25.5,7.3,4.1,14.4,21.6,116.6,72,241.7,0.47100000000000003,0.369,0.529,0.7809999999999999,10.3,35.8,46.1,24.5,8.2,4.8,14.7,22.0,118.5,0,0
